Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-4;Stride;0.13;-;3.32;2.21;391;1.76 (R) ;-0.37 (F) ;;1.27;
;-3;Stride;0.09;-;3.11;2.24;381;0.01 (R) ;0.33 (B) ;;1.17;
;-2;Stride;0.06;-;3.11;2.66;388;3.02 (R) ;-2.11 (F) ;;2.02;
;-1;Stride;0;-;0.08;-0.24;496;9.09 (R) ;-29.9 (F) ;;0;
10b;21;Jump;-;1.76;6.64;4.77;362;9.18 (R) ;undefined ;36.45;8;
;1;Stride;0.06;-;2.72;2.54;441;4.74 (R) ;-3.21 (F) ;;1.96;
;2;Stride;0.1;-;3;2.72;400;-2.03 (L) ;-0.36 (F) ;;1.18;
;3;Stride;0.18;-;3.79;2.55;385;0.55 (R) ;1.57 (B) ;;1.84;
;4;Stride;0.07;-;3.65;2.72;384;5.65 (R) ;9.41 (B) ;;3.54;
;5;Stride;0.1;-;2.27;1.87;358;13.27 (R) ;10.24 (B) ;;1.63;
;-5;Stride;0.06;-;2.72;2.54;441;4.74 (R) ;-3.21 (F) ;;1.96;
;-4;Stride;0.1;-;3;2.72;400;-2.03 (L) ;-0.36 (F) ;;1.18;
;-3;Stride;0.18;-;3.79;2.55;385;0.55 (R) ;1.57 (B) ;;1.84;
;-2;Stride;0.07;-;3.65;2.72;384;5.65 (R) ;9.41 (B) ;;3.54;
;-1;Stride;0.1;-;2.27;1.87;358;13.27 (R) ;10.24 (B) ;;1.63;
10c;22;Jump;-;1.76;5.12;3.39;317;4.12 (R) ;undefined ;34.42;3.8;
;1;Stride;0.11;-;0.88;3.85;331;0.76 (R) ;-29.27 (F) ;;1.99;
;2;Stride;0.08;-;4.75;2.52;390;9.91 (R) ;4.85 (B) ;;2.83;
;3;Stride;0.04;-;3.91;2.96;488;14.49 (R) ;1.94 (B) ;;1.75;
;4;Stride;0.06;-;4.23;3.35;529;11.14 (R) ;3.31 (B) ;;1.83;
;5;Stride;0.06;-;4.52;3.04;553;12.9 (R) ;1.53 (B) ;;2.08;
;-5;Stride;0.16;-;5.43;4.41;615;4.8 (R) ;5.37 (B) ;;3.03;
;-4;Stride;0.15;-;5.17;3.33;564;4.65 (R) ;6.99 (B) ;;2.87;
;-3;Stride;0.15;-;4.94;3.68;519;4.01 (R) ;8.81 (B) ;;2.65;
;-2;Stride;0.09;-;3.85;3.61;471;1.65 (R) ;8.28 (B) ;;1.7;
;-1;Stride;0.08;-;4.84;2.92;461;3.11 (R) ;10 (B) ;;3.63;
11;23;Jump;-;1.83;9.93;5.62;458;6.42 (R) ;undefined ;43;8.79;
;1;Stride;0.02;-;2.2;1.95;490;4.93 (R) ;-2.49 (F) ;;1.6;
;2;Stride;0.06;-;4.24;2.23;489;4.84 (R) ;3.15 (B) ;;1.92;
;3;Stride;0.07;-;4.26;2.69;501;2.9 (R) ;2.22 (B) ;;2.46;
;4;Stride;0.1;-;4.38;2.02;516;5.46 (R) ;-0.01 (F) ;;2.76;
;5;Stride;0.08;-;3.91;2.88;499;3.01 (R) ;-0.16 (F) ;;1.77;
;-5;Stride;0.15;-;4.39;3.02;488;4.47 (R) ;-1.48 (F) ;;2.43;
;-4;Stride;0.1;-;3.98;2.96;459;3.84 (R) ;2.26 (B) ;;2.58;
;-3;Stride;0.05;-;3.55;2.17;453;2.36 (R) ;0.72 (B) ;;1.73;
;-2;Stride;0.06;-;3.47;2.37;473;3.01 (R) ;0.23 (B) ;;1.42;
;-1;Stride;0.1;-;3.63;3.66;483;7.83 (R) ;-1.47 (F) ;;2.05;
12a;24;Jump;-;1.65;8.96;5.64;512;10.47 (R) ;undefined ;27.7;8.56;
;1;Stride;0.03;-;2.33;3.45;482;6.86 (R) ;-9.59 (F) ;;1.35;
;2;Stride;0.06;-;3.59;2.56;399;-0.35 (L) ;-1.66 (F) ;;2.13;
;3;Stride;0.05;-;2.32;1.4;435;7.18 (R) ;-5.42 (F) ;;0.65;
;4;Stride;0;-;0.08;-0.64;506;12.42 (R) ;-26.48 (F) ;;0;
;-4;Stride;0.03;-;2.33;3.45;482;6.86 (R) ;-9.59 (F) ;;1.35;
;-3;Stride;0.06;-;3.59;2.56;399;-0.35 (L) ;-1.66 (F) ;;2.13;
;-2;Stride;0.05;-;2.32;1.4;435;7.18 (R) ;-5.42 (F) ;;0.65;
;-1;Stride;0;-;0.08;-0.64;506;12.42 (R) ;-26.48 (F) ;;0;
12b;25;Jump;-;1.76;7.85;5.39;436;9.86 (R) ;undefined ;29.36;7.37;
;1;Stride;0.03;-;2.67;2.42;500;8.1 (R) ;-2.7 (F) ;;2.1;
;2;Stride;0.08;-;4.25;2.18;500;5.81 (R) ;-1.23 (F) ;;1.97;
;3;Stride;0.06;-;3.94;1.68;514;-0.17 (L) ;-6.14 (F) ;;2.34;
;4;Stride;0.08;-;4.7;2.24;552;5.33 (R) ;-4.96 (F) ;;2.18;
;5;Stride;0.05;-;4.62;2.4;645;4.89 (R) ;-7.26 (F) ;;2.37;
;-5;Stride;0.14;-;4.39;3.27;507;3.58 (R) ;1.87 (B) ;;2.26;
;-4;Stride;0.18;-;4.24;5.34;462;0.87 (R) ;-0.19 (F) ;;3.41;
;-3;Stride;0.09;-;4.04;3.23;457;4.81 (R) ;1.25 (B) ;;1.89;
;-2;Stride;0.07;-;3.45;2.18;460;8.13 (R) ;3.52 (B) ;;1.46;
;-1;Stride;0.09;-;3.35;1.88;490;9.82 (R) ;0.13 (B) ;;1.15;
13;26;Jump;-;1.63;8.04;6.88;459;-3.36 (L) ;undefined ;31.94;6.2;
;1;Stride;0.01;-;2;2.08;443;-1.66 (L) ;-3.08 (F) ;;1.27;
;2;Stride;0.06;-;3.96;2.97;475;18.83 (R) ;1.92 (B) ;;1.96;
;3;Stride;0.07;-;4.89;2.27;576;18.44 (R) ;7.8 (B) ;;1.67;
;4;Stride;0.08;-;4.95;2.73;594;15.67 (R) ;6.38 (B) ;;1.84;
;5;Stride;0.08;-;5.2;2.82;588;12.02 (R) ;6.85 (B) ;;2.62;
;-5;Stride;0.08;-;3.94;3.17;502;14.08 (R) ;8.88 (B) ;;1.84;
;-4;Stride;0.07;-;4.41;2.69;499;11.63 (R) ;12.07 (B) ;;1.59;
;-3;Stride;0.05;-;3.7;2.69;463;10.27 (R) ;13.02 (B) ;;1.68;
;-2;Stride;0.05;-;2.71;2.41;465;11.02 (R) ;9.81 (B) ;;1.04;
;-1;Stride;0;-;0.08;1.78;510;7.7 (R) ;-22.58 (F) ;;0.18;
14a;27;Jump;-;1.87;8.08;6.3;425;14.35 (R) ;undefined ;40.57;8.04;
;1;Stride;0.02;-;2.25;2.57;408;8.69 (R) ;6.91 (B) ;;1.88;
;2;Stride;0.08;-;3.18;2.65;414;9.79 (R) ;7.33 (B) ;;1.03;
;3;Stride;0.15;-;3.73;2.8;386;6.06 (R) ;7.57 (B) ;;1.56;
;4;Stride;0.09;-;3.59;4.45;479;14.61 (R) ;4.66 (B) ;;1.36;
