Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
1238;654.69;540 ms;4.8 G;canter;598 m/min;15 cm;5.38 m;R;6.3 º (R);-0.7 º (F);2738.07;
1239;655.21;520 ms;5.3 G;canter;633 m/min;13 cm;5.48 m;R;6 º (R);-2.2 º (F);3086.82;
1240;655.74;530 ms;4.4 G;canter;585 m/min;10 cm;5.17 m;R;6.8 º (R);-2.3 º (F);2824.56;
1241;656.24;500 ms;4.4 G;canter;604 m/min;11 cm;5.03 m;R;7.1 º (R);-2.4 º (F);2786.85;
1242;656.83;590 ms;4.4 G;canter;560 m/min;16 cm;5.5 m;R;7.6 º (R);-0.1 º (F);4169.79;
1243;657.28;450 ms;3.1 G;canter;557 m/min;9 cm;4.18 m;R;4 º (R);-1.1 º (F);1785.01;
1244;657.81;530 ms;4.3 G;canter;522 m/min;15 cm;4.61 m;R;4.7 º (R);0.7 º (B);2876.98;
1245;658.36;550 ms;4 G;canter;558 m/min;18 cm;5.12 m;R;5.5 º (R);-1.2 º (F);2907.87;
1246;658.88;520 ms;3.1 G;canter;564 m/min;16 cm;4.88 m;S;3.3 º (R);-3.2 º (F);2811.84;
1247;659.4;520 ms;2.8 G;canter;537 m/min;16 cm;4.65 m;R;9.2 º (R);-2.5 º (F);2506.79;
1248;659.94;540 ms;2.7 G;canter;504 m/min;16 cm;4.53 m;R;11.9 º (R);-0.9 º (F);2638.24;
1249;660.51;570 ms;2.7 G;canter;453 m/min;18 cm;4.31 m;R;13.2 º (R);3.5 º (B);2242.37;
1250;661.05;540 ms;3.2 G;canter;434 m/min;17 cm;3.91 m;R;12.1 º (R);5.5 º (B);1815.8;
1251;661.57;520 ms;3.3 G;canter;442 m/min;13 cm;3.83 m;R;9.1 º (R);7.6 º (B);1718.9;
1252;662.07;500 ms;3.6 G;canter;420 m/min;7 cm;3.5 m;R;7.5 º (R);10.9 º (B);1393.55;
1253;662.46;390 ms;1.9 G;canter;390 m/min;7 cm;2.54 m;S;3.7 º (R);5.6 º (B);675.81;
1254;663.92;300 ms;2 G;canter;366 m/min;2 cm;1.83 m;L;-6 º (L);-8.2 º (F);474.86;
1255;664.44;520 ms;3.6 G;canter;337 m/min;13 cm;2.92 m;S;-0.2 º (L);-1.5 º (F);919.91;
1256;664.96;520 ms;3 G;canter;349 m/min;14 cm;3.02 m;S;4.6 º (R);3.1 º (B);1177.91;
