Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;-1;Stride;0.07;-;2.89;3.7;403;-2.3 (L) ;-4.95 (F) ;;1.36;
9;18;Jump;-;1.76;6.38;6.47;324;5.73 (R) ;undefined ;40.3;6.86;
;1;Stride;0.03;-;1.95;3.09;417;-2.85 (L) ;-6.63 (F) ;;0.81;
;2;Stride;0.11;-;3.37;2.28;389;-3.36 (L) ;-3.91 (F) ;;1.42;
;3;Stride;0.18;-;4.18;4.11;447;3.01 (R) ;-1.9 (F) ;;2.85;
;4;Stride;0.18;-;4.47;5.19;455;7.34 (R) ;0.11 (B) ;;3.45;
;5;Stride;0.12;-;3.43;2.29;448;6.71 (R) ;6.83 (B) ;;1.03;
;-5;Stride;0.11;-;3.37;2.28;389;-3.36 (L) ;-3.91 (F) ;;1.42;
;-4;Stride;0.18;-;4.18;4.11;447;3.01 (R) ;-1.9 (F) ;;2.85;
;-3;Stride;0.18;-;4.47;5.19;455;7.34 (R) ;0.11 (B) ;;3.45;
;-2;Stride;0.12;-;3.43;2.29;448;6.71 (R) ;6.83 (B) ;;1.03;
;-1;Stride;0.1;-;2.75;5.29;393;6.26 (R) ;2.97 (B) ;;1.94;
10a;19;Jump;-;1.48;4.41;4.8;291;2.88 (R) ;undefined ;32.9;3.37;
;1;Stride;0.01;-;0.14;4.41;281;6.39 (R) ;-30.29 (F) ;;0.66;
;2;Stride;0.11;-;3.37;5.56;337;3.85 (R) ;-14.03 (F) ;;1.99;
;3;Stride;0.07;-;2.75;2.77;375;2.41 (R) ;-5.57 (F) ;;0.94;
;4;Stride;0.19;-;4.18;3.38;368;-0.11 (L) ;-2.41 (F) ;;2.82;
;5;Stride;0.07;-;2.74;2.55;401;-4.98 (L) ;-1.58 (F) ;;1.36;
;-5;Stride;0.19;-;4.18;3.38;368;-0.11 (L) ;-2.41 (F) ;;2.82;
;-4;Stride;0.07;-;2.74;2.55;401;-4.98 (L) ;-1.58 (F) ;;1.36;
;-3;Stride;0.18;-;4.38;4.1;431;0.53 (R) ;1.01 (B) ;;3.75;
;-2;Stride;0.14;-;4.24;3.63;446;2.78 (R) ;1.44 (B) ;;2.62;
;-1;Stride;0.08;-;3.45;2.74;414;-0.44 (L) ;-3.03 (F) ;;1.7;
10b;20;Jump;-;1.58;4.78;4.55;268;3.86 (R) ;undefined ;40.55;5.54;
;1;Stride;0.02;-;1.91;1.95;338;-1.13 (L) ;-6.2 (F) ;;0.65;
;2;Stride;0.17;-;2.85;2.95;290;3.15 (R) ;1.51 (B) ;;1.13;
;3;Stride;0.15;-;3.47;3.21;365;6.3 (R) ;1.82 (B) ;;1.72;
;4;Stride;0.14;-;3.34;5.65;393;1.34 (R) ;8.85 (B) ;;2.9;
;5;Stride;0.11;-;2.53;4.82;345;-1.63 (L) ;9.96 (B) ;;1.68;
;-5;Stride;0.02;-;1.91;1.95;338;-1.13 (L) ;-6.2 (F) ;;0.65;
;-4;Stride;0.17;-;2.85;2.95;290;3.15 (R) ;1.51 (B) ;;1.13;
;-3;Stride;0.15;-;3.47;3.21;365;6.3 (R) ;1.82 (B) ;;1.72;
;-2;Stride;0.14;-;3.34;5.65;393;1.34 (R) ;8.85 (B) ;;2.9;
;-1;Stride;0.11;-;2.53;4.82;345;-1.63 (L) ;9.96 (B) ;;1.68;
10c;21;Jump;-;1.76;4.21;4.38;241;2.74 (R) ;undefined ;36.6;4.18;
;1;Stride;0.05;-;1.17;1.27;333;-2.52 (L) ;-19.99 (F) ;;0.53;
;2;Stride;0.06;-;3.39;1.91;318;9.92 (R) ;2.56 (B) ;;1.45;
;3;Stride;0.03;-;3.56;2.36;445;9.59 (R) ;-4.13 (F) ;;1.41;
;4;Stride;0.06;-;3.78;2.28;504;9.73 (R) ;-6.69 (F) ;;1.24;
;5;Stride;0.09;-;4.94;3.46;581;12.88 (R) ;-6.27 (F) ;;2.9;
;-5;Stride;0.16;-;5.14;3.89;593;21.99 (R) ;-1.43 (F) ;;2.93;
;-4;Stride;0.12;-;4.8;4.55;588;18.6 (R) ;-1.55 (F) ;;3.16;
;-3;Stride;0.15;-;5.37;3.4;575;13.32 (R) ;-0.63 (F) ;;3.84;
;-2;Stride;0.1;-;5.1;4.51;625;5.78 (R) ;-1.59 (F) ;;3.19;
;-1;Stride;0.13;-;5.07;4.6;585;4.72 (R) ;-0.23 (F) ;;2.67;
11;22;Jump;-;1.53;8.37;8.58;523;5.75 (R) ;undefined ;36.63;9.18;
;1;Stride;0.07;-;2.9;8.39;543;6.65 (R) ;-14.63 (F) ;;3.14;
;2;Stride;0.13;-;4.81;3.21;507;6.86 (R) ;-6.57 (F) ;;2.31;
;3;Stride;0.14;-;4.79;5.22;532;3.52 (R) ;-7.69 (F) ;;3.36;
;4;Stride;0.11;-;4.26;4.05;581;-4.13 (L) ;-7.69 (F) ;;1.96;
;5;Stride;0.18;-;5.92;4.67;572;-7.11 (L) ;-5.71 (F) ;;5.04;
