Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3746;1975.02;590 ms;4.4 G;canter;518 m/min;20 cm;5.09 m;R;6.4 º (R);-3.5 º (F);2798.5;
3747;1975.53;510 ms;2.4 G;canter;581 m/min;13 cm;4.94 m;S;1.6 º (R);-11 º (F);1534.18;
3748;1976.08;550 ms;3.7 G;canter;562 m/min;17 cm;5.15 m;L;-4.2 º (L);-7.4 º (F);2530.05;
3749;1976.61;530 ms;3.6 G;canter;540 m/min;13 cm;4.77 m;L;-4.6 º (L);-5.7 º (F);1847.56;
3750;1977.13;520 ms;4.5 G;canter;520 m/min;15 cm;4.51 m;L;-3.1 º (L);-3.6 º (F);2005.85;
3751;1977.63;500 ms;4.4 G;canter;460 m/min;9 cm;3.83 m;S;4.9 º (R);-0.4 º (F);1530.64;
3752;1978.29;660 ms;4.5 G;canter;468 m/min;23 cm;5.15 m;R;9.2 º (R);0.7 º (B);2672;
3753;1978.73;440 ms;6.2 G;canter;505 m/min;14 cm;3.7 m;R;8.8 º (R);-1.8 º (F);2555.36;
3754;1979.33;600 ms;3.1 G;canter;458 m/min;20 cm;4.58 m;S;3.4 º (R);0.9 º (B);1966.88;
3755;1979.88;550 ms;2.3 G;canter;416 m/min;11 cm;3.81 m;S;4 º (R);-2.9 º (F);937.49;
3756;1980.43;550 ms;3.7 G;canter;452 m/min;18 cm;4.15 m;R;5.1 º (R);-8.8 º (F);1767.26;
3757;1980.99;560 ms;3.1 G;canter;474 m/min;18 cm;4.42 m;R;8.5 º (R);-8.6 º (F);1966.1;
3758;1981.54;550 ms;5.6 G;canter;502 m/min;20 cm;4.6 m;R;6.6 º (R);-3.7 º (F);2638.93;
3759;1982.03;490 ms;3.9 G;canter;492 m/min;15 cm;4.02 m;R;5.5 º (R);3.6 º (B);1939.7;
3760;1983.44;310 ms;1.1 G;canter;458 m/min;4 cm;2.37 m;S;0.9 º (R);-24.4 º (F);312.9;
3761;1983.97;530 ms;2.9 G;canter;427 m/min;15 cm;3.77 m;R;13.6 º (R);-4.5 º (F);1961.16;
3762;1984.45;480 ms;3.3 G;canter;448 m/min;11 cm;3.59 m;R;10.4 º (R);-3.9 º (F);1442.24;
3763;1985.79;370 ms;2.1 G;canter;480 m/min;4 cm;2.96 m;S;-2.4 º (L);-17.3 º (F);878.06;
3764;1986.25;460 ms;2.9 G;canter;476 m/min;11 cm;3.65 m;L;-6.3 º (L);-7.2 º (F);1755.01;
3765;1986.8;550 ms;2.1 G;canter;492 m/min;9 cm;4.51 m;L;-8.4 º (L);-2.6 º (F);1294.95;
3766;1987.26;460 ms;2.1 G;canter;554 m/min;7 cm;4.25 m;L;-6.6 º (L);-6.6 º (F);1287.09;
3767;1987.79;530 ms;2.7 G;canter;574 m/min;9 cm;5.07 m;L;-6 º (L);-6.5 º (F);1762.65;
3768;1988.28;490 ms;3 G;canter;599 m/min;10 cm;4.89 m;L;-3 º (L);-7.3 º (F);1938.85;
3769;1988.81;530 ms;2.4 G;canter;602 m/min;10 cm;5.32 m;S;-0.1 º (L);-4.3 º (F);2027.59;
3770;1989.32;510 ms;4.4 G;canter;647 m/min;10 cm;5.5 m;S;0.4 º (R);-6.7 º (F);2293.67;
3771;1989.84;520 ms;5.2 G;canter;615 m/min;10 cm;5.33 m;S;0 º (R);-5.1 º (F);2321.23;
3772;1990.33;490 ms;5.4 G;canter;672 m/min;9 cm;5.49 m;S;1.3 º (R);-7.5 º (F);2499.79;
3773;1990.85;520 ms;6.3 G;canter;640 m/min;11 cm;5.55 m;S;2 º (R);-5.1 º (F);2762.57;
3774;1991.36;510 ms;7.1 G;canter;650 m/min;12 cm;5.52 m;S;-0.7 º (L);-5.8 º (F);2862.79;
3775;1991.87;510 ms;5.2 G;canter;648 m/min;11 cm;5.51 m;S;0.6 º (R);-5.7 º (F);2675.07;
3776;1992.39;520 ms;5.1 G;canter;651 m/min;11 cm;5.64 m;S;1 º (R);-5.5 º (F);2581.74;
3777;1992.9;510 ms;7.1 G;canter;673 m/min;11 cm;5.72 m;S;0.7 º (R);-6.1 º (F);2806.71;
3778;1993.43;530 ms;6 G;canter;657 m/min;12 cm;5.8 m;S;0.9 º (R);-5 º (F);2542.65;
3779;1993.92;490 ms;6.8 G;canter;638 m/min;11 cm;5.21 m;S;0.2 º (R);-5.6 º (F);3082.7;
3780;1994.45;530 ms;5.1 G;canter;601 m/min;12 cm;5.31 m;S;1.2 º (R);-3 º (F);2409.56;
3781;1994.97;520 ms;7 G;canter;612 m/min;11 cm;5.3 m;S;-0.3 º (L);-4.6 º (F);2628.77;
