Stride;Time (mm:ss);Duration;Strike power;Gait;Speed;Max. height;Length;Hand;Lateral balance;Longitudinal balance;Energy;BPM
3322;1686.93;520 ms;3.9 G;canter;452 m/min;14 cm;3.92 m;R;22.5 º (R);-8.7 º (F);2160.73;
3323;1687.46;530 ms;3.3 G;canter;413 m/min;14 cm;3.65 m;R;17.8 º (R);-9.2 º (F);2087.35;
3324;1687.94;480 ms;2.9 G;canter;391 m/min;11 cm;3.13 m;R;9.2 º (R);-8.3 º (F);1299.43;
3325;1688.47;530 ms;3.6 G;canter;379 m/min;12 cm;3.35 m;R;5.5 º (R);-5.1 º (F);2207.51;
3326;1688.93;460 ms;2.3 G;canter;424 m/min;11 cm;3.25 m;S;-1.7 º (L);-2.1 º (F);1290.65;
3327;1689.46;530 ms;4.2 G;canter;504 m/min;10 cm;4.45 m;L;-11.4 º (L);-3.3 º (F);2430.01;
3328;1689.97;510 ms;3 G;canter;564 m/min;8 cm;4.79 m;L;-18.6 º (L);-6.2 º (F);1913.55;
3329;1690.53;560 ms;3.8 G;canter;638 m/min;15 cm;5.96 m;L;-20.8 º (L);-6.8 º (F);3082.77;
3330;1691.04;510 ms;2.2 G;canter;695 m/min;11 cm;5.91 m;L;-18.9 º (L);-8.1 º (F);2141.03;
3331;1691.59;550 ms;4 G;canter;670 m/min;12 cm;6.14 m;L;-16.3 º (L);-6.8 º (F);3090.25;
3332;1692.14;550 ms;6.5 G;canter;688 m/min;14 cm;6.31 m;L;-10.8 º (L);-4.8 º (F);3685.13;
3333;1692.63;490 ms;5.5 G;canter;667 m/min;12 cm;5.45 m;S;-1.8 º (L);-1.8 º (F);2482.14;
3334;1693.14;510 ms;5 G;canter;587 m/min;11 cm;4.99 m;R;2.1 º (R);-5.9 º (F);2447.27;
3335;1693.65;510 ms;3 G;canter;601 m/min;12 cm;5.11 m;L;-1.8 º (L);-3.6 º (F);2772.48;
3336;1694.17;520 ms;4.2 G;canter;599 m/min;10 cm;5.19 m;S;0.2 º (R);-2.3 º (F);2241.35;
3337;1695.49;280 ms;3.5 G;canter;507 m/min;1 cm;2.36 m;S;3 º (R);2.2 º (B);1790.36;
