Jump ID;ID;Type;Stride height (m);Jump height (m);Length (m);Strike power (G);Avg. speed (m/min);Lateral balance (°);Longitudinal balance (°);Max. take-off angle (°);Avg. energy kcal;BPM
;3;Stride;0.1;-;5.04;2.59;581;-3.09 (L) ;-7.66 (F) ;;2.35;
;4;Stride;0.11;-;5.11;2.03;601;-0.36 (L) ;-8.19 (F) ;;2.24;
;5;Stride;0.11;-;5.25;2.42;605;-4.6 (L) ;-7.56 (F) ;;2.62;
;-5;Stride;0.17;-;5.67;3.79;586;4.85 (R) ;-7.01 (F) ;;4.26;
;-4;Stride;0.16;-;4.89;4.05;543;3.67 (R) ;-5.41 (F) ;;3.53;
;-3;Stride;0.17;-;4.85;4.45;529;5.76 (R) ;-2.88 (F) ;;3.47;
;-2;Stride;0.15;-;4.58;4.1;539;4.24 (R) ;-4.15 (F) ;;2.9;
;-1;Stride;0.1;-;3.58;3.85;499;0.81 (R) ;-5.5 (F) ;;1.89;
13;25;Jump;-;1.55;7.21;3.96;476;8.92 (R) ;undefined ;33.66;4.96;
;1;Stride;0.06;-;2.81;4.63;528;8.8 (R) ;-14.56 (F) ;;3.76;
;2;Stride;0.15;-;4.53;2.89;468;24.22 (R) ;-0.34 (F) ;;2.58;
;3;Stride;0.14;-;4.25;3.65;510;31.92 (R) ;-0.99 (F) ;;2.59;
;4;Stride;0.12;-;4.27;3.21;545;26.71 (R) ;-1.64 (F) ;;2.11;
;5;Stride;0.11;-;4.78;2.99;573;17.28 (R) ;-1.86 (F) ;;2.33;
;-5;Stride;0.2;-;4.58;4.71;473;17.84 (R) ;2.11 (B) ;;3.34;
;-4;Stride;0.18;-;4.25;3.47;439;14.77 (R) ;0.69 (B) ;;2.9;
;-3;Stride;0.12;-;3.9;3.74;441;15.64 (R) ;-0.11 (F) ;;2.56;
;-2;Stride;0.12;-;3.84;3.91;443;22.04 (R) ;5.05 (B) ;;2.1;
;-1;Stride;0.07;-;3.3;1.7;461;15.23 (R) ;-0.58 (F) ;;1.36;
14a;26;Jump;-;1.63;6.51;3.99;411;7.58 (R) ;undefined ;38.37;4.66;
;1;Stride;0.08;-;0.54;5.21;362;-0.57 (L) ;-23.55 (F) ;;2.12;
;2;Stride;0.03;-;2.27;2.36;425;2.56 (R) ;2.85 (B) ;;1.53;
;3;Stride;0.06;-;3.27;1.84;436;9.08 (R) ;-2.17 (F) ;;1.18;
;4;Stride;0.14;-;4.55;2.57;496;18.9 (R) ;-4.8 (F) ;;2.49;
;5;Stride;0.17;-;4.44;4.32;493;15.56 (R) ;-5.75 (F) ;;2.76;
;-5;Stride;0.19;-;4.36;2.55;429;20.37 (R) ;-2.07 (F) ;;2.93;
;-4;Stride;0.14;-;3.49;1.95;395;16.22 (R) ;-3.22 (F) ;;1.39;
;-3;Stride;0.19;-;4.09;3.52;402;11.38 (R) ;-2.36 (F) ;;2.49;
;-2;Stride;0.11;-;3.52;2.33;414;11.63 (R) ;1.64 (B) ;;1.58;
;-1;Stride;0.03;-;2.01;2.08;401;7.97 (R) ;-0.42 (F) ;;0.69;
14b;27;Jump;-;1.61;6.55;4.69;385;-3.49 (L) ;undefined ;36.66;5.66;
;1;Stride;0.03;-;2.17;2.04;483;-5.67 (L) ;-7.84 (F) ;;1.15;
;2;Stride;0.07;-;3.67;2.1;441;7.29 (R) ;2.81 (B) ;;1.37;
;-2;Stride;0.03;-;2.17;2.04;483;-5.67 (L) ;-7.84 (F) ;;1.15;
;-1;Stride;0.07;-;3.67;2.1;441;7.29 (R) ;2.81 (B) ;;1.37;
14c;28;Jump;-;1.57;6.45;3.97;403;10.07 (R) ;undefined ;37.82;4.43;
;1;Stride;0.09;-;2.44;3.56;473;6.39 (R) ;-17.19 (F) ;;3.22;
;2;Stride;0.08;-;4.39;3.79;439;-5.25 (L) ;0.83 (B) ;;2.34;
;3;Stride;0.06;-;3.37;1.87;459;-8 (L) ;-3.35 (F) ;;1.44;
;4;Stride;0.09;-;4.44;2.51;503;-3.16 (L) ;-5.51 (F) ;;2.06;
